,horizon,mse,rmse,mae,mape,coverage
3872,137 days 00:00:00.000000000,94.26694328943516,9.709116504061281,7.632018165382086,0.2914535168780679,0.20121028744326777
4815,138 days 00:00:00.000000000,94.40152464943762,9.716044701906101,7.646197342791865,0.2916102236933826,0.19969742813918306
1037,138 days 00:00:00.000000000,94.24093837301787,9.707777210722229,7.636235824925348,0.29222549505112516,0.19969742813918306
5759,138 days 00:00:00.000000000,95.16238906687487,9.755121171306632,7.669908686456837,0.2922482903646955,0.19969742813918306
95,138 days 00:00:00.000000000,95.04472853161315,9.749088600049399,7.65728756640758,0.2916805375611129,0.20121028744326777
3873,138 days 00:00:00.000000000,95.30149707452205,9.762248566520013,7.67329356439727,0.2913072283624446,0.20121028744326777
4816,139 days 00:00:00.000000000,95.40815147070148,9.767709632800388,7.682458624197034,0.291198176644429,0.20121028744326777
1038,139 days 00:00:00.000000000,95.1508505598386,9.75452974570474,7.668942962627675,0.2919539375739644,0.20121028744326777
96,139 days 00:00:00.000000000,95.03712032673597,9.748698391412875,7.656518195869023,0.29140407844394556,0.2027231467473525
5760,139 days 00:00:00.000000000,96.0687170100596,9.801465044066607,7.692161376413169,0.29096244438708035,0.2027231467473525
1981,139 days 00:00:00.000000000,95.95764442783491,9.795797283929211,7.686421165528234,0.2912028049692799,0.2027231467473525
1039,140 days 00:00:00.000000000,95.80991240947334,9.788253797765632,7.677275221398893,0.2920483974761899,0.2027231467473525
2928,140 days 00:00:00.000000000,95.81889432129627,9.788712597747278,7.67867889995867,0.2920138561822115,0.2027231467473525
1982,140 days 00:00:00.000000000,95.80019596242647,9.78775745318745,7.677569464484476,0.29164259996756176,0.2027231467473525
97,140 days 00:00:00.000000000,95.4614575100246,9.770437938497158,7.655634244706634,0.2918101133441507,0.2042360060514372
5761,140 days 00:00:00.000000000,96.29402941721423,9.81295212549283,7.677545327558168,0.29175701392666686,0.2042360060514372
2929,141 days 00:00:00.000000000,96.32149468304873,9.814351465229311,7.683904038875974,0.2920240894479964,0.2027231467473525
1040,141 days 00:00:00.000000000,96.14618792914189,9.805416254761543,7.673428141461587,0.29263983765271734,0.2027231467473525
98,141 days 00:00:00.000000000,96.04494015304337,9.800252045383495,7.661776468167901,0.29219634638827313,0.2042360060514372
1983,141 days 00:00:00.000000000,95.90889578499679,9.79330872509372,7.65527292837106,0.2926071300749551,0.2042360060514372
3874,141 days 00:00:00.000000000,96.01728129337616,9.798840813758337,7.660001651058312,0.29285475685687823,0.2042360060514372
1984,142 days 00:00:00.000000000,96.10200926342824,9.803163227419414,7.671214673796445,0.29338071209426336,0.2027231467473525
2930,142 days 00:00:00.000000000,96.1200203294771,9.804081819807354,7.673724184513041,0.29294241328887244,0.2027231467473525
3875,142 days 00:00:00.000000000,96.20912049817218,9.808624801580097,7.677456570262325,0.2931399919177611,0.2027231467473525
1041,142 days 00:00:00.000000000,96.04891401273773,9.800454786015685,7.667670785933016,0.29397733052389374,0.2027231467473525
4817,142 days 00:00:00.000000000,96.1229328832092,9.804230356494548,7.674941589466165,0.29337375786878117,0.2027231467473525
4818,143 days 00:00:00.000000000,96.11314626456925,9.803731241959321,7.674300664765564,0.29338888876082486,0.2027231467473525
1985,143 days 00:00:00.000000000,96.161781543418,9.806211375624024,7.679606177312764,0.2936150923297216,0.2027231467473525
2931,143 days 00:00:00.000000000,96.19103142261284,9.807702657738602,7.686216212708886,0.2939267658425132,0.20121028744326777
5762,143 days 00:00:00.000000000,96.96523147774106,9.847092539310324,7.708737326259399,0.29409441645789647,0.20121028744326777
3876,143 days 00:00:00.000000000,97.21302751837617,9.859666704223635,7.724001391558202,0.2941538426292222,0.20121028744326777
4819,144 days 00:00:00.000000000,97.3206051902233,9.865120637388237,7.733559592774673,0.2936150309710686,0.20121028744326777
2932,144 days 00:00:00.000000000,97.24905475690616,9.861493535814246,7.72742900172774,0.2930710618202637,0.20121028744326777
5763,144 days 00:00:00.000000000,98.28663695138141,9.913961718272944,7.767030397217062,0.2933870962885303,0.19969742813918306
3877,144 days 00:00:00.000000000,98.43879493393769,9.921632674814044,7.774442591403586,0.2936561080935366,0.19969742813918306
99,144 days 00:00:00.000000000,98.43908195107558,9.921647139012533,7.775020476577753,0.29400765235382104,0.19969742813918306
1042,145 days 00:00:00.000000000,98.27897047369298,9.913575060173448,7.765491101155379,0.2946580840271471,0.19969742813918306
3878,145 days 00:00:00.000000000,98.43200997940303,9.921290741602276,7.773014518528687,0.2942427722612791,0.19969742813918306
5764,145 days 00:00:00.000000000,99.66766914802001,9.983369628938918,7.812631729317856,0.29384838600975627,0.19969742813918306
4820,145 days 00:00:00.000000000,99.8000898530473,9.989999492144497,7.823011160909245,0.29375021974839594,0.19969742813918306
100,145 days 00:00:00.000000000,99.69275485476211,9.984625924628428,7.810861084800864,0.29321181556244513,0.20121028744326777
1986,146 days 00:00:00.000000000,99.75610786184461,9.987797948589298,7.817258806220421,0.2934759868025134,0.20121028744326777
5765,146 days 00:00:00.000000000,101.07727326946014,10.053719374910965,7.847366289258363,0.29346910941029913,0.20121028744326777
101,146 days 00:00:00.000000000,101.06921179790844,10.0533184470556,7.844389823031944,0.29311047808797436,0.2027231467473525
1043,146 days 00:00:00.000000000,100.9627979157098,10.048024577781934,7.8373586626901055,0.2939512925906901,0.2027231467473525
5766,147 days 00:00:00.000000000,102.60798143970375,10.129559785089565,7.8831229862245475,0.2940246566406243,0.2027231467473525
1044,147 days 00:00:00.000000000,102.42963319230728,10.120752600093892,7.8727157223317406,0.29465829354443457,0.2027231467473525
102,147 days 00:00:00.000000000,102.33971050647571,10.116309134584396,7.861653255243305,0.29489828974381094,0.2042360060514372
2933,147 days 00:00:00.000000000,102.24563139246342,10.111658192030792,7.853732939693843,0.29419787949723736,0.2042360060514372
1987,147 days 00:00:00.000000000,102.2243102515022,10.110603851971563,7.85231545965233,0.29465750972859156,0.2042360060514372
3879,148 days 00:00:00.000000000,102.21926227027066,10.110354210920143,7.852101467001496,0.29463747811808333,0.2042360060514372
1045,148 days 00:00:00.000000000,102.1555937298952,10.10720504045976,7.847197843784523,0.29477656284317444,0.2042360060514372
2934,148 days 00:00:00.000000000,102.01766008317601,10.100379204919784,7.837051491290021,0.2948800208298809,0.2042360060514372
103,148 days 00:00:00.000000000,101.9056228438235,10.094831491601209,7.82468110061913,0.2951273220881855,0.20574886535552195
1988,148 days 00:00:00.000000000,101.96469842926984,10.097757098943797,7.8341185436853245,0.29565426130440464,0.2042360060514372
4821,149 days 00:00:00.000000000,102.13883318245739,10.106375867859724,7.847121890628102,0.2951828605208492,0.2042360060514372
3880,149 days 00:00:00.000000000,102.22839594320548,10.110805899788874,7.852062209501315,0.29537766368787255,0.2042360060514372
2935,149 days 00:00:00.000000000,102.097214472495,10.104316625704827,7.842146583411882,0.2954752103128342,0.2042360060514372
1046,149 days 00:00:00.000000000,101.93534721354894,10.096303641112867,7.832366282054184,0.29611836654121,0.2042360060514372
1989,149 days 00:00:00.000000000,101.97965178659459,10.098497501440232,7.840514997242568,0.2965796956959861,0.2027231467473525
3881,150 days 00:00:00.000000000,102.16105401411158,10.107475155255717,7.853342324618127,0.2966171552878404,0.2027231467473525
4822,150 days 00:00:00.000000000,102.30856312164087,10.114769553560816,7.860171821654542,0.29681033356914216,0.2027231467473525
1990,150 days 00:00:00.000000000,102.35590303681963,10.11710942101644,7.865674217053025,0.2965931955305496,0.2027231467473525
2936,150 days 00:00:00.000000000,102.32788904697827,10.115724840414465,7.8626828171073635,0.29675577976184125,0.20121028744326777
4823,151 days 00:00:00.000000000,102.56745282373652,10.127559075302228,7.881666813559416,0.2970252947623017,0.19969742813918306
3882,151 days 00:00:00.000000000,102.77846012996127,10.137971203843561,7.89611304413006,0.2966437858491517,0.19969742813918306
104,151 days 00:00:00.000000000,102.7786528360288,10.137980708012261,7.896611585665145,0.29696720117109654,0.19969742813918306
5767,151 days 00:00:00.000000000,104.32623470749293,10.214021475770107,7.93353609058466,0.2972275307162357,0.19969742813918306
4824,152 days 00:00:00.000000000,104.54316662736484,10.224635280897058,7.947872263214826,0.2972098220041325,0.19969742813918306
1047,152 days 00:00:00.000000000,104.47700005863788,10.221399124319424,7.943081130083363,0.2973223850524575,0.19969742813918306
105,152 days 00:00:00.000000000,104.46714762935609,10.22091716184786,7.939712959498522,0.296908927329769,0.20121028744326777
5768,152 days 00:00:00.000000000,106.12400273993602,10.301650486205403,7.985532514044739,0.29697515281280246,0.20121028744326777
3883,152 days 00:00:00.000000000,106.1194304214394,10.301428562167454,7.985338596120518,0.29695535275027213,0.20121028744326777
1991,153 days 00:00:00.000000000,106.1691872343615,10.303843323457588,7.990752265629992,0.2971850536460959,0.20121028744326777
1048,153 days 00:00:00.000000000,106.2021188931172,10.305441227483527,7.994751998789067,0.2974386388225715,0.20121028744326777
5769,153 days 00:00:00.000000000,107.83586633173587,10.384404958000044,8.03293349176545,0.29686142414318545,0.20121028744326777
106,153 days 00:00:00.000000000,107.58752706935653,10.372440747931826,8.014001807025329,0.29676418224787854,0.2027231467473525
4825,153 days 00:00:00.000000000,107.77513610269082,10.381480438872426,8.022726042678356,0.2969502345838691,0.2027231467473525
5770,154 days 00:00:00.000000000,109.31023941524683,10.455153725089213,8.055712383762087,0.29695475534865345,0.2027231467473525
1049,154 days 00:00:00.000000000,109.12478246465781,10.446280795797987,8.045205255480653,0.2977703828805385,0.2027231467473525
1992,154 days 00:00:00.000000000,109.05162230284722,10.442778476193356,8.040452356278823,0.2981609169509539,0.2027231467473525
2937,154 days 00:00:00.000000000,108.95330334394815,10.438069905109284,8.032979820523746,0.2974483841913224,0.2027231467473525
107,154 days 00:00:00.000000000,108.953405434662,10.438074795414238,8.033304727673196,0.29767243087405765,0.2027231467473525
1993,155 days 00:00:00.000000000,108.89664558723531,10.435355556339962,8.029967812389614,0.29713170929238275,0.2027231467473525
3884,155 days 00:00:00.000000000,108.80006779842148,10.430727098262205,8.025839498226656,0.297050079739537,0.2027231467473525
2938,155 days 00:00:00.000000000,108.63877377634454,10.422992553789172,8.015273658448155,0.29715794593667655,0.2027231467473525
1050,155 days 00:00:00.000000000,108.56438934757352,10.419423657169025,8.00992875250299,0.2980587050954162,0.2027231467473525
108,155 days 00:00:00.000000000,108.3105582338195,10.407235859430664,7.990757692195483,0.2979437579424082,0.2042360060514372
1994,156 days 00:00:00.000000000,108.3865095352075,10.410884186043349,7.997967215127443,0.2977453826907859,0.2042360060514372
1051,156 days 00:00:00.000000000,108.32759326354162,10.408054249644437,7.993428138074949,0.2986446672953553,0.2042360060514372
2939,156 days 00:00:00.000000000,108.35869009918798,10.409548025691988,8.000182338872712,0.29892224390951994,0.2027231467473525
4826,156 days 00:00:00.000000000,108.4650595101505,10.414655995766278,8.00455692405959,0.29910173271054286,0.2027231467473525
3885,156 days 00:00:00.000000000,108.45430359257954,10.414139599245804,8.004079995647231,0.29923920095463064,0.2027231467473525
1995,157 days 00:00:00.000000000,108.52117347913412,10.417349637942182,8.010609767176124,0.2995002199934279,0.2027231467473525
4827,157 days 00:00:00.000000000,108.7784826090814,10.429692354479176,8.02618321805712,0.29899729556992866,0.2027231467473525
