,horizon,mse,rmse,mae,mape,coverage
2966,85 days 00:00:00.000000000,83.78653454118891,9.15349848643615,7.422813390083619,0.3171775492744848,0.5061425061425061
3549,85 days 00:00:00.000000000,84.20290488298882,9.176214082233958,7.4516026458326445,0.3192891205994822,0.5036855036855037
2383,85 days 00:00:00.000000000,84.46922040530767,9.190713813698459,7.466757138132548,0.31987604266995684,0.5012285012285013
641,85 days 00:00:00.000000000,84.47418179211125,9.190983722763916,7.4670168367892105,0.3188902882509936,0.5012285012285013
58,86 days 00:00:00.000000000,84.5881304342012,9.197180569837759,7.481349699773437,0.3192166271475836,0.4987714987714988
2384,86 days 00:00:00.000000000,84.66096855327535,9.20113952471515,7.484585239994829,0.31930041357877115,0.4987714987714988
2967,86 days 00:00:00.000000000,84.34149003801872,9.183762303000808,7.4610535948100045,0.3184302560501522,0.5012285012285013
1227,86 days 00:00:00.000000000,84.70127844163534,9.20332974752265,7.487038278737417,0.31934053979191906,0.4987714987714988
642,86 days 00:00:00.000000000,84.87871088297163,9.2129642831703,7.498780811755788,0.3195500319006717,0.4963144963144963
1805,87 days 00:00:00.000000000,84.87843116145959,9.212949102293987,7.498323597957681,0.3195461253720542,0.4963144963144963
59,87 days 00:00:00.000000000,84.6943183173792,9.202951608988238,7.4872678016808925,0.31901036927943377,0.4987714987714988
2385,87 days 00:00:00.000000000,85.03491826597076,9.221437971703262,7.51529762662845,0.31995550812140433,0.4963144963144963
643,87 days 00:00:00.000000000,85.27677814555615,9.234542660335494,7.535767269002035,0.32032922704068345,0.49385749385749383
644,88 days 00:00:00.000000000,85.21696551715863,9.231303565432057,7.532601176669094,0.3199649985027828,0.49385749385749383
60,88 days 00:00:00.000000000,85.35077657066446,9.238548401705998,7.546908522846111,0.3202118074966382,0.4914004914004914
2386,88 days 00:00:00.000000000,85.45475913867713,9.244174335151687,7.551655617949264,0.320334519897551,0.4914004914004914
1806,88 days 00:00:00.000000000,85.45178691210825,9.244013571609912,7.54927872768845,0.32027832508816156,0.4914004914004914
1228,89 days 00:00:00.000000000,85.84694436255135,9.265362613656919,7.575455137354575,0.3212039310218638,0.48894348894348894
2387,89 days 00:00:00.000000000,85.95044154498582,9.270946097620556,7.580026942902251,0.321311267935988,0.48894348894348894
61,89 days 00:00:00.000000000,85.79213960049903,9.262404633813999,7.569551760607374,0.320081166457314,0.4914004914004914
3550,89 days 00:00:00.000000000,86.03452556623249,9.275479802480975,7.580234201490288,0.3217236146186579,0.4914004914004914
1807,89 days 00:00:00.000000000,86.02051882413022,9.274724730369641,7.574651810328265,0.32147374355787806,0.4914004914004914
62,90 days 00:00:00.000000000,85.88556519946295,9.267446530704287,7.567257544734869,0.32100756907824723,0.49385749385749383
2968,90 days 00:00:00.000000000,85.7949978219959,9.262558924076862,7.556644062373534,0.32075362649477185,0.49385749385749383
3551,90 days 00:00:00.000000000,86.18877408039957,9.28379093260935,7.576723791267041,0.322863564608968,0.4914004914004914
