,horizon,mse,rmse,mae,mape,coverage
1429,51 days 00:00:00.000000000,2624.3598270120174,51.22850600019502,35.76145808380524,0.06353530126450516,0.6008230452674898
730,51 days 00:00:00.000000000,2627.561750242602,51.259747855823505,35.86387421102468,0.06370713414743463,0.5967078189300411
33,51 days 00:00:00.000000000,2567.487776861395,50.67038362654653,35.48732323296252,0.06305818893679382,0.5967078189300411
2125,51 days 00:00:00.000000000,2564.0599569230253,50.63654764024721,35.3896106738318,0.0629186687625486,0.5967078189300411
382,51 days 00:00:00.000000000,2559.691545889375,50.593394291047275,35.31526195386533,0.06281251565109568,0.6008230452674898
1078,51 days 00:00:00.000000000,2596.107260053081,50.952009381898584,35.674362061197364,0.06349470507284155,0.5967078189300411
1775,51 days 00:00:00.000000000,2596.558518062043,50.95643745457529,35.69701010729117,0.06349860738510266,0.5967078189300411
34,52 days 00:00:00.000000000,2596.366101203685,50.95454936709464,35.6945117950773,0.06366469101303254,0.5967078189300411
731,52 days 00:00:00.000000000,2592.5305274715456,50.916898250694196,35.635989436696,0.06359804102123598,0.6008230452674898
1079,52 days 00:00:00.000000000,2619.941959396624,51.18536860663039,35.92147223876362,0.06414636206425076,0.5967078189300411
1430,52 days 00:00:00.000000000,2590.00002005652,50.89204279704756,35.797745355235165,0.06361218833715993,0.5967078189300411
383,52 days 00:00:00.000000000,2591.586013356819,50.90762235026125,35.86175599154624,0.06375172682666551,0.5967078189300411
1776,52 days 00:00:00.000000000,2588.827226540232,50.880519126088245,35.80279282884838,0.06366979456448638,0.5967078189300411
2126,52 days 00:00:00.000000000,2582.3695695957813,50.81702047145013,35.657325277819155,0.0633794992096124,0.6008230452674898
384,55 days 00:00:00.000000000,2584.18314183051,50.834861481374276,35.716114524158655,0.06351659799892807,0.6008230452674898
1431,55 days 00:00:00.000000000,2561.5625274507433,50.61188128740862,35.62035006243249,0.06305306006401912,0.6008230452674898
35,55 days 00:00:00.000000000,2569.5084680674786,50.69031927367866,35.78563549521018,0.06348228303313162,0.5967078189300411
1080,55 days 00:00:00.000000000,2588.3250390275903,50.875583918296115,35.96302454873664,0.06385395667901644,0.5925925925925926
2127,55 days 00:00:00.000000000,2588.15297491243,50.87389286178551,35.95433344428075,0.06379567350958368,0.5925925925925926
