,horizon,mse,rmse,mae,mape,coverage
1491,69 days 00:00:00.000000000,927.3772482501829,30.45286929420909,26.246547914620116,0.19855343174132734,0.3601190476190476
1973,70 days 00:00:00.000000000,927.6575011658273,30.457470367150115,26.261428208757565,0.19861269647690666,0.3601190476190476
2454,70 days 00:00:00.000000000,929.8043619163159,30.4926935825013,26.32744127975743,0.19897315596520773,0.35714285714285715
2935,70 days 00:00:00.000000000,922.8144872404746,30.377861795071663,26.239092323054155,0.19773417184241412,0.35714285714285715
47,70 days 00:00:00.000000000,921.2001147226141,30.3512786340644,26.197270253903465,0.19746299888162233,0.3601190476190476
1492,70 days 00:00:00.000000000,926.6829909764934,30.441468278920013,26.3020784913689,0.19810134044733835,0.35714285714285715
48,71 days 00:00:00.000000000,927.1156954483648,30.448574604542078,26.32634106495218,0.19825640484500268,0.35714285714285715
1974,71 days 00:00:00.000000000,925.3520386502983,30.41959958070287,26.282865632811557,0.19794580999754835,0.3601190476190476
2455,71 days 00:00:00.000000000,927.1048003611293,30.44839569437328,26.313395739476153,0.19790310757276064,0.3601190476190476
2936,71 days 00:00:00.000000000,920.5980586720937,30.341358879788057,26.226138553072026,0.19674096444967315,0.3601190476190476
2456,72 days 00:00:00.000000000,922.921100518554,30.379616530143267,26.28865261811268,0.19706109722371298,0.35714285714285715
49,72 days 00:00:00.000000000,920.9775873726086,30.347612548149627,26.240071115429394,0.1967436438127061,0.3601190476190476
2937,72 days 00:00:00.000000000,921.842520643853,30.36185963744403,26.271797308586304,0.19693020110531193,0.3601190476190476
531,72 days 00:00:00.000000000,930.4715680942268,30.503632047581263,26.37438460644565,0.1981890452416153,0.3601190476190476
1009,72 days 00:00:00.000000000,925.6512460926996,30.42451718750356,26.3116519190722,0.19746576506444682,0.3601190476190476
1010,73 days 00:00:00.000000000,922.922889957786,30.379645981442675,26.27325495412336,0.19745067148878778,0.3601190476190476
532,73 days 00:00:00.000000000,933.7348146114656,30.5570747063829,26.422757150049545,0.19924229337490273,0.35714285714285715
50,73 days 00:00:00.000000000,927.0682199986474,30.447794994032776,26.317953391218662,0.19804175218286982,0.3601190476190476
2938,73 days 00:00:00.000000000,926.2304526341634,30.434034445570365,26.298724825303857,0.19773846448334145,0.3630952380952381
1493,73 days 00:00:00.000000000,926.8088671153292,30.443535719678312,26.305257381101153,0.1977712582548799,0.3630952380952381
1494,74 days 00:00:00.000000000,931.216543705678,30.51584086512574,26.366148658595844,0.19793585045846,0.3630952380952381
533,74 days 00:00:00.000000000,942.8703981989942,30.706194785401106,26.539966166983692,0.19993257629322908,0.3601190476190476
