,horizon,mse,rmse,mae,mape,coverage
1057,51 days 00:00:00.000000000,16.003145237111923,4.000393135319568,3.286485698248882,0.2966985858661609,0.5541666666666667
2089,51 days 00:00:00.000000000,16.095546391296647,4.011925521653741,3.306097516274512,0.29815370196154306,0.55
373,51 days 00:00:00.000000000,15.873913736404395,3.9842080438155327,3.282222226976649,0.2949051927178102,0.5541666666666667
1741,51 days 00:00:00.000000000,15.988553964275203,3.9985689895605407,3.2987528541640287,0.2962728764209788,0.55
1398,51 days 00:00:00.000000000,16.01320951187059,4.001650848321301,3.306265272299837,0.2973983554158701,0.55
713,52 days 00:00:00.000000000,15.890080673706368,3.9862364046436545,3.2940771772506894,0.29642155208500426,0.55
2090,52 days 00:00:00.000000000,15.99135939213995,3.9989197781575903,3.312295695713369,0.2977869965617194,0.5458333333333333
1742,52 days 00:00:00.000000000,16.070714963686523,4.008829625175722,3.3212584635689484,0.29809126325750906,0.5458333333333333
32,52 days 00:00:00.000000000,16.051329054731042,4.006410994235495,3.3177457239352934,0.2969818252212952,0.55
1399,52 days 00:00:00.000000000,15.853543731848184,3.981650880206373,3.297748114460218,0.2948193432873247,0.5541666666666667
374,52 days 00:00:00.000000000,15.866404725669438,3.9832655856306443,3.303688083493641,0.29515341246165866,0.5541666666666667
1058,52 days 00:00:00.000000000,15.880940719543355,3.985089800687477,3.3048469665104814,0.29632094864787345,0.5541666666666667
1743,55 days 00:00:00.000000000,16.005101482444015,4.000637634483285,3.322971475477383,0.29815535419517775,0.55
33,55 days 00:00:00.000000000,15.977920255045243,3.9972390790450905,3.3182889281017327,0.2968298327235815,0.5541666666666667
714,55 days 00:00:00.000000000,16.034253710560435,4.004279424635653,3.3290308220736873,0.29704549492954785,0.55
2091,55 days 00:00:00.000000000,16.115078575970482,4.014359049209535,3.3453203151070317,0.29832949144371274,0.5458333333333333
375,55 days 00:00:00.000000000,16.119064635553453,4.014855493732427,3.346431241052099,0.2983922732543644,0.5458333333333333
1400,55 days 00:00:00.000000000,16.149081282824476,4.018591952764609,3.3552751064127952,0.2997000140406849,0.5458333333333333
1059,55 days 00:00:00.000000000,16.113170084616268,4.014121334067553,3.3525200984040144,0.2993293190962347,0.5458333333333333
715,56 days 00:00:00.000000000,16.006714490184386,4.000839223236094,3.3415018741606475,0.2984102884517949,0.5458333333333333
376,56 days 00:00:00.000000000,16.015344301883424,4.001917578097208,3.3436617258933916,0.29851261411061214,0.5458333333333333
1744,56 days 00:00:00.000000000,15.985161201499364,3.998144719929403,3.341318162288834,0.2977211039629362,0.5458333333333333
2092,56 days 00:00:00.000000000,16.087799667254423,4.010959943361991,3.35789701040196,0.2986819951530535,0.5416666666666666
1060,56 days 00:00:00.000000000,16.233477485679007,4.029078987272278,3.381683299620654,0.3011829697338246,0.5375
34,56 days 00:00:00.000000000,16.090013647623856,4.011235925201092,3.3672245206616704,0.3001467683738824,0.5375
1401,56 days 00:00:00.000000000,16.071833772508445,4.008969165821614,3.364481272482553,0.29980145794766017,0.5416666666666666
2093,57 days 00:00:00.000000000,16.16612779949427,4.020712349757723,3.377198030907793,0.30086328450346667,0.5375
716,57 days 00:00:00.000000000,16.122139185166592,4.015238372147611,3.3705204579098247,0.29911033826651084,0.5416666666666666
